SR_ID_Pub3,Total_Trials_Pub3,Total_Participants_Pub3,PublicationDate_Pub3,SearchDate_Pub3,SearchDate_Pub2,Total_Trials_Pub2,Total_Participants_Pub2,conclusion
27003123,5,1854,22-Mar-16,30-Sep-15,27-Jun-12,2,2,1
26649916,4,430,9-Dec-15,31-Oct-15,31-Aug-09,2,3,0
22786500,6,454,11-Jul-12,20-Feb-12,16-Feb-10,6,3,0
27911487,2,5,2-Dec-16,1-Jun-15,31-May-11,2,5,0
25233847,1,7,19-Sep-14,31-Mar-14,31-Oct-10,1,7,0
27223580,10,50,25-May-16,30-Jun-15,15-Aug-12,9,8,1
26545165,1,9,4-Nov-15,27-Jul-15,21-Jan-13,1,9,0
25310725,1,10,13-Oct-14,8-Jul-14,10-May-11,1,10,0
23450573,2,10,28-Feb-13,31-Oct-12,31-Jan-10,2,10,0
22161399,1,10,7-Dec-11,8-Mar-11,30-Sep-30,1,10,0
23450579,1,12,28-Feb-13,31-Jul-12,30-Apr-10,1,12,0
30259968,2,14,27-Sep-18,26-Feb-18,1-Oct-13,2,14,0
29112241,1,14,7-Nov-17,31-Aug-17,7-Apr-14,1,14,0
26284429,5,15,18-Aug-15,30-Mar-15,30-Sep-10,4,15,0
26690687,2,16,21-Dec-15,23-Mar-15,31-Aug-12,2,16,0
22419283,1,17,14-Mar-12,1-Sep-11,2-Dec-09,1,17,0
25565627,3,180,7-Jan-15,31-Jul-15,31-Mar-11,2,19,0
30113083,1,20,16-Aug-18,23-May-18,3-Jul-15,1,20,0
23999944,1,20,2-Sep-13,2-Jul-13,31-May-10,1,20,0
23543560,1,21,28-Mar-13,31-Aug-09,31-Aug-09,1,21,0
26041152,1,22,4-Jun-15,3-Jun-15,5-Jul-12,1,22,0
26558329,3,175,12-Nov-15,14-Jan-15,31-Oct-10,1,24,1
26111021,1,24,25-Jun-15,26-Mar-15,10-May-12,1,24,0
26816298,1,12,27-Jan-16,22-Sep-15,31-Oct-09,1,25,0
24526345,3,48,14-Feb-14,31-Jan-14,28-Feb-11,1,25,0
28245347,5,44,28-Feb-17,31-Jul-16,30-Apr-13,4,26,0
22513953,1,29,18-Apr-12,11-Jul-11,17-Dec-08,1,29,0
28406263,3,88,13-Apr-17,28-Feb-16,31-May-12,1,30,1
22419318,1,30,14-Mar-12,30-Sep-11,11-May-09,1,30,0
21563152,1,30,11-May-11,31-Jan-11,31-Jul-08,1,30,0
26488459,1,32,21-Oct-15,10-Aug-15,19-Aug-13,1,32,0
23633357,2,32,30-Apr-13,11-Oct-12,15-Apr-10,2,32,0
23440820,1,33,31-Jan-13,13-Feb-12,31-May-09,1,33,0
26978005,4,35,15-Mar-16,7-Mar-16,10-Jan-13,4,35,0
26510094,1,37,28-Oct-15,11-Aug-15,31-Aug-12,1,37,0
23543554,4,37,28-Mar-13,31-Dec-09,31-Dec-09,4,37,0
22258941,7,323,18-Jan-12,30-Jun-10,31-May-07,4,38,0
25741986,2,78,5-Mar-15,19-Nov-14,2-Aug-12,1,39,0
25561247,2,52,5-Jan-15,27-Oct-14,20-Feb-12,2,40,0
21563150,5,40,11-May-11,13-Apr-11,9-Sep-10,5,40,0
22972102,2,44,12-Sep-12,13-Jun-12,31-Mar-10,2,44,0
25261861,1,45,27-Sep-14,31-Mar-14,28-Jun-10,1,45,0
23633352,1,46,30-Apr-13,25-Jan-13,2-Feb-11,1,46,0
25314586,8,437,14-Oct-14,12-Aug-13,30-Apr-07,1,47,0
21975769,2,47,5-Oct-11,30-Apr-11,31-Jul-08,2,47,0
25929694,12,141,1-May-15,30-Nov-14,30-Apr-13,5,48,0
23543531,2,48,28-Mar-13,1-May-12,31-Dec-08,2,48,0
26590358,2,100,21-Nov-15,30-Sep-15,31-Jan-13,2,50,0
26241793,4,50,4-Aug-15,12-May-15,31-Mar-10,4,50,0
23728676,3,40,31-May-13,30-Jul-12,31-Jul-10,3,50,0
23728653,2,52,31-May-13,2-Jul-12,31-Aug-07,2,52,0
28799164,3,254,11-Aug-17,31-Jan-17,30-Apr-10,1,53,1
28141912,4,204,31-Jan-17,31-Dec-15,31-Aug-11,3,53,0
23450584,4,53,28-Feb-13,28-Aug-12,5-Jul-10,4,53,0
22513949,3,53,18-Apr-12,15-Feb-12,14-Mar-11,3,53,0
29676439,10,357,20-Apr-18,31-Mar-17,5-Dec-13,4,55,0
26591003,7,106,23-Nov-15,31-Mar-15,31-Oct-12,5,55,0
25427003,2,93,26-Nov-14,23-Jun-14,31-Jul-09,1,55,1
23737086,3,56,5-Jun-13,28-Jun-12,9-Jun-10,3,56,0
28675262,1,58,4-Jul-17,2-Feb-17,14-Jun-10,1,58,0
24954057,3,59,23-Jun-14,31-Mar-14,28-Feb-08,3,59,0
23904069,6,541,31-Jul-13,31-Jan-13,31-Aug-07,1,61,0
23633373,1,61,30-Apr-13,31-Dec-12,30-Nov-11,1,61,0
23543561,1,61,28-Mar-13,30-Nov-12,31-Jan-11,1,61,0
26482210,2,64,19-Oct-15,27-Apr-15,15-May-13,2,64,0
26263042,16,837,17-Sep-15,31-Aug-15,30-Nov-08,1,67,1
24729384,2,67,14-Apr-14,31-Jul-13,31-Jan-10,2,67,0
25501301,3,68,15-Dec-14,29-May-14,10-Jul-12,3,68,0
27388039,3,108,8-Jul-16,15-Feb-16,30-Apr-11,2,69,0
22258994,2,70,18-Jan-12,31-Dec-10,31-Dec-10,2,70,0
22161428,4,463,7-Dec-11,1-Aug-11,30-Apr-10,2,71,0
24497383,2,1305,5-Feb-14,31-Dec-13,21-Sep-10,1,74,1
24258092,8,180,21-Nov-13,8-Jul-13,28-Jun-11,8,75,0
23813478,2,75,30-Jun-13,31-Mar-13,31-Mar-08,1,75,1
27230550,1,77,27-May-16,28-Feb-16,28-Feb-07,1,77,0
26299681,3,79,24-Aug-15,30-Jun-15,31-May-12,3,79,0
24482008,3,229,30-Jan-14,31-May-13,31-Jan-08,2,79,1
28434203,3,83,23-Apr-17,21-Feb-17,2-Nov-15,3,83,0
23737089,4,111,5-Jun-13,26-Jul-12,26-Aug-10,3,84,0
24896368,2,88,4-Jun-14,31-Oct-13,30-Sep-11,2,88,0
28158933,1,90,4-Feb-17,30-Apr-16,31-Dec-13,1,90,0
27498707,1,91,8-Aug-16,18-May-16,4-Dec-13,2,91,0
22895953,2,756,15-Aug-12,4-Apr-12,31-Mar-08,1,94,1
