DOI,SR_ID,Date_Created,DOI
10.1002/14651858.CD012222.pub2.,30270428,3/10/2018,10.1002/14651858.CD012222.pub2
10.1002/14651858.CD003968.pub5.,30270423,3/10/2018,10.1002/14651858.CD003968.pub5
10.1002/14651858.CD003481.pub7.,30264852,29/09/2018,10.1002/14651858.CD003481.pub7
10.1002/14651858.CD005528.pub3.,30264405,29/09/2018,10.1002/14651858.CD005528.pub3
10.1002/14651858.CD012416.pub2.,30264525,29/09/2018,10.1002/14651858.CD012416.pub2
10.1002/14651858.CD001506.pub4.,30260472,28/09/2018,10.1002/14651858.CD001506.pub4
10.1002/14651858.CD010136.pub3.,30259968,28/09/2018,10.1002/14651858.CD010136.pub3
10.1002/14651858.CD011077.pub2.,30251253,27/09/2018,10.1002/14651858.CD011077.pub2
10.1002/14651858.CD011798.pub2.,30246878,25/09/2018,10.1002/14651858.CD011798.pub2
10.1002/14651858.CD002150.pub2.,30246875,25/09/2018,10.1002/14651858.CD002150.pub2
10.1002/14651858.CD008422.pub3.,30246874,25/09/2018,10.1002/14651858.CD008422.pub3
10.1002/14651858.CD009332.pub3.,30246877,25/09/2018,10.1002/14651858.CD009332.pub3
10.1002/14651858.CD012555.pub2.,30246876,25/09/2018,10.1002/14651858.CD012555.pub2
10.1002/14651858.CD010192.pub3.,30229557,20/09/2018,10.1002/14651858.CD010192.pub3
10.1002/14651858.CD012779.pub2.,30221749,18/09/2018,10.1002/14651858.CD012779.pub2
10.1002/14651858.CD009530.pub4.,30221745,18/09/2018,10.1002/14651858.CD009530.pub4
10.1002/14651858.CD011073.pub2.,30215847,15/09/2018,10.1002/14651858.CD011073.pub2
10.1002/14651858.CD010980.pub2.,30211952,14/09/2018,10.1002/14651858.CD010980.pub2
10.1002/14651858.CD011517.pub2.,30209805,14/09/2018,10.1002/14651858.CD011517.pub2
10.1002/14651858.CD012472.pub2.,30204235,12/09/2018,10.1002/14651858.CD012472.pub2
10.1002/14651858.CD012453.pub2.,30199594,11/09/2018,10.1002/14651858.CD012453.pub2
10.1002/14651858.CD007287.pub4.,30199097,11/09/2018,10.1002/14651858.CD007287.pub4
10.1002/14651858.CD006089.pub5.,30198548,11/09/2018,10.1002/14651858.CD006089.pub5
10.1002/14651858.CD005974.pub5.,30196554,10/09/2018,10.1002/14651858.CD005974.pub5
10.1002/14651858.CD011921.pub2.,30191961,8/09/2018,10.1002/14651858.CD011921.pub2
10.1002/14651858.CD005465.pub4.,30191554,8/09/2018,10.1002/14651858.CD005465.pub4
10.1002/14651858.CD004538.pub3.,30188566,7/09/2018,10.1002/14651858.CD004538.pub3
10.1002/14651858.CD009070.pub2.,30188565,7/09/2018,10.1002/14651858.CD009070.pub2
10.1002/14651858.CD001127.pub4.,30187450,7/09/2018,10.1002/14651858.CD001127.pub4
10.1002/14651858.CD008263.pub3.,30184244,6/09/2018,10.1002/14651858.CD008263.pub3
10.1002/14651858.CD012590.pub2.,30184243,6/09/2018,10.1002/14651858.CD012590.pub2
10.1002/14651858.CD013102.,30178872,5/09/2018,10.1002/14651858.CD013102
10.1002/14651858.CD006876.pub5.,30175845,4/09/2018,10.1002/14651858.CD006876.pub5
10.1002/14651858.CD008165.pub4.,30175841,4/09/2018,10.1002/14651858.CD008165.pub4
10.1002/14651858.CD012841.pub2.,30171767,2/09/2018,10.1002/14651858.CD012841.pub2
10.1002/14651858.CD012610.pub2.,30168868,1/09/2018,10.1002/14651858.CD012610.pub2
10.1002/14651858.CD003944.pub2.,30168578,1/09/2018,10.1002/14651858.CD003944.pub2
10.1002/14651858.CD008831.pub3.,30168576,1/09/2018,10.1002/14651858.CD008831.pub3
10.1002/14651858.CD010434.pub2.,30161292,31/08/2018,10.1002/14651858.CD010434.pub2
10.1002/14651858.CD010954.pub2.,30160300,31/08/2018,10.1002/14651858.CD010954.pub2
