SR_ID_Pub3,No of trials_Pub3,No of participants_Pub3,List of participants_Pub3,PublicationDate_Pub3,SearchDate_Pub3,conclusion,No of trials_Pub2,No of participants_Pub2,List of participants_Pub2,SearchDate_Pub2
30264405,29,46,"[34, 12]",28-Sep-18,31-Mar-18,1,16,1174,"[34, 110, 12, 76, 200, 742]",29-Mar-10
30259968,2,14,"[4, 10]",27-Sep-18,26-Feb-18,0,2,14,"[4, 10]",1-Oct-13
30229557,24,218,"[71, 48, 66, 33]",19-Sep-18,31-May-18,0,14,33,[33],31-Aug-12
30132304,104,1243,"[17, 28, 163, 19, 6, 33, 98, 639, 67, 21, 18, 41, 20, 33, 40]",22-Aug-18,12-Jul-18,1,60,1199,"[28, 80, 19, 6, 33, 52, 98, 50, 69, 31, 21, 115, 51, 21, 62, 31, 21, 27, 18, 64, 47, 20, 181, 54]",31-Mar-10
30117156,18,314,"[12, 45, 22, 28, 28, 16, 40, 28, 8, 38, 8, 20, 10, 11]",17-Aug-18,12-Jul-17,1,13,286,"[12, 45, 22, 28, 16, 40, 28, 8, 38, 8, 20, 10, 11]",30-Nov-11
30113083,1,20,[20],16-Aug-18,23-May-18,0,1,20,[20],3-Jul-15
30096215,8,1871,"[539, 183, 208, 400, 447, 94]",10-Aug-18,20-Sep-17,1,3,583,"[183, 400]",31-Aug-11
30095170,5,1292,"[20, 114, 217, 548, 393]",10-Aug-18,7-May-18,0,5,820,"[20, 57, 79, 272, 392]",31-Mar-13
30091808,20,2554,"[420, 161, 69, 116, 24, 411, 19, 32, 126, 18, 18, 30, 274, 22, 17, 27, 255, 275, 98, 142]",9-Aug-18,31-Aug-17,0,7,1116,"[420, 30, 274, 22, 17, 255, 98]",25-Feb-10
30091147,5,1350,"[119, 696, 320, 150, 65]",9-Aug-18,31-Oct-17,0,5,1350,"[119, 696, 320, 150, 65]",30-Nov-14
30075059,4,13,"[1, 1, 1, 10]",3-Aug-18,14-Jun-17,0,1,942,[942],30-Jun-09
30058070,11,2392,"[100, 102, 430, 802, 84, 48, 90, 100, 250, 91, 295]",30-Jul-18,11-Jun-18,1,6,1588,"[102, 802, 48, 250, 91, 295]",31-Dec-13
30039850,4,294,"[28, 177, 54, 35]",24-Jul-18,7-Aug-17,1,2,691,"[408, 283]",28-Feb-11
30027631,6,0,[],20-Jul-18,28-Feb-18,1,6,0,[],28-Feb-17
30019765,19,198,"[66, 51, 30, 28, 23]",18-Jul-18,30-Sep-16,1,5,875,"[157, 157, 160, 401]",23-Sep-14
29993119,64,2024,"[40, 24, 9, 24, 33, 36, 20, 50, 48, 24, 36, 27, 34, 10, 48, 6, 31, 14, 24, 30, 26, 35, 81, 27, 33, 25, 13, 30, 20, 28, 30, 60, 43, 10, 15, 40, 15, 22, 8, 60, 48, 30, 30, 47, 30, 20, 16, 16, 18, 20, 32, 40, 40, 15, 60, 94, 90, 33, 40, 26, 60, 30]",11-Jul-18,16-Aug-17,1,16,567,"[40, 9, 48, 24, 48, 121, 10, 40, 16, 6, 10, 40, 40, 15, 40, 60]",30-Jun-11
29985541,19,1557,"[128, 25, 46, 60, 30, 400, 60, 44, 60, 26, 62, 28, 120, 78, 149, 101, 40, 60, 40]",9-Jul-18,19-May-17,0,12,1021,"[25, 46, 60, 30, 400, 60, 44, 26, 149, 101, 40, 40]",5-Sep-14
